ID_REF,accelerated_age69
cg02151301,0.34684
cg02154074,0.14203
cg02189786,0.00658
cg02193806,0.79136
cg02197293,0.38376
cg02220125,0.56312
cg02228185,0.51377
cg02229946,0.78342
cg02272457,0.92599
cg02291424,0.05056
cg02295856,0.82241
cg02309431,0.84277
cg02356786,0.14049
cg02373784,0.13718
cg02395454,0.43888
cg02415341,0.66679
cg02480835,0.02753
cg02483931,0.34625
cg02503970,0.04645
cg02505126,0.00226
cg02514143,0.89674
cg02515033,0.99567
cg02580250,0.55448
cg02580722,0.06472
cg02591356,0.43105
cg02613108,0.37979
cg02627240,0.06637
cg02631957,0.06444
cg02633924,0.05025
cg02713068,0.10276
cg02716826,0.25622
cg02735486,0.61229
cg02767242,0.34563
cg02780017,0.20441
cg02782857,0.86107
cg02802055,0.02972
cg02817030,0.12086
cg02831419,0.86691
cg02853801,0.07953
cg02875404,0.81202
cg02880119,0.59124
cg02922734,0.86951
cg02925268,0.89854
cg02931526,0.92833
cg02970861,0.04799
cg02974659,0.71803
cg02976574,0.87771
cg02991799,0.00622
cg03007010,0.04271
cg03072681,0.52392
cg03096347,0.60784
cg03098356,0.0
cg03110633,0.00611
cg03112631,0.08657
cg03112869,0.91667
cg03153178,0.03276
cg03172657,0.57472
cg03172991,0.44872
cg03258472,0.4807
cg03259703,0.79319
cg03274876,0.0
cg03276920,0.83076
cg03294557,0.60046
cg03322338,0.40935
cg03340261,0.03888
cg03345668,0.56996
cg03358468,0.90869
cg03387497,0.81421
cg03393241,0.89103
cg03394401,0.19341
cg03400403,0.98352
cg03415429,0.01637
cg03424844,0.75193
cg03443360,0.47598
cg03460603,0.88295
cg03473532,0.67913
cg03494277,0.87996
cg03522107,0.31034
cg03524223,0.04415
cg03535648,0.9556
cg03546163,0.39973
cg03565081,0.28196
cg03568017,0.07718
cg03574306,0.71648
cg03604011,0.09749
cg03623878,0.08741
cg03634479,0.1333
cg03636183,0.61586
cg03699074,0.15569
cg03703325,0.06056
cg03706056,0.09879
cg03707967,0.72171
cg03714531,0.0576
cg03724882,0.06368
cg03730314,0.3948
cg03739265,0.89883
cg03760035,0.99122
cg03764506,0.04372
cg03807873,0.80215
cg03819692,0.77676
cg03827386,0.89782
cg03840504,0.05374
cg03860256,0.28775
cg03900798,0.92076
cg03900851,0.00857
cg03913456,0.31489
cg03929796,0.21617
cg03950121,0.76706
cg03955530,0.71484
cg03974717,0.03631
cg03977782,0.04541
cg03991512,0.4454
cg03997502,0.84692
cg04007936,0.92262
cg04014889,0.90636
cg04018738,0.81859
cg04053045,0.05987
cg04084157,0.14486
cg04087608,0.84522
cg04120520,0.7502
cg04135242,0.91827
cg04169469,0.13962
cg04196119,0.43837
cg04243822,0.92822
cg04254609,0.04268
cg04265051,0.5821
cg04323814,0.44487
cg04333463,0.01006
cg04344923,0.90158
cg04359302,0.75492
cg04379563,0.91896
cg04416752,0.06429
cg04424621,0.09271
cg04431596,0.91566
cg04480914,0.05972
cg04528819,0.18238
cg04588969,0.96087
cg04599158,0.8363
cg04601137,0.30112
cg04607246,0.90222
cg04616566,0.91422
cg04634427,0.77001
cg04659537,0.6092
cg04661709,0.7151
cg04718414,0.06165
cg04736140,0.03328
cg04745805,0.05343
cg04748223,0.64375
cg04755031,0.10269
cg04764584,0.4424
cg04785972,0.27683
cg04818845,0.6015
cg04832325,0.73358
cg04836038,0.13894
cg04836987,0.89307
cg04946715,0.04209
cg04967775,0.03424
cg04974804,0.86033
cg04976151,0.2616
cg04987004,0.90907
cg05021075,0.37897
cg05065162,0.86267
cg05078817,0.93235
cg05087948,0.06922
cg05089968,0.88538
cg05090127,0.10948
cg05125838,0.3454
cg05144928,0.51326
cg05174890,0.13844
cg05180206,0.8861
cg05182912,0.90273
cg05218245,0.76603
cg05228408,0.35624
cg05241355,0.11014
cg05270634,0.07455
cg05276137,0.0577
cg05294243,0.33263
cg05303999,0.87016
cg05308744,0.97887
cg05313771,0.07667
cg05316065,0.45894
cg05420896,0.18247
cg05422352,0.41718
cg05425050,0.0428
cg05440289,0.80256
cg05441133,0.86617
cg05442902,0.2546
cg05461666,0.93018
cg05466385,0.85516
cg05473871,0.17048
cg05492270,0.0196
cg05495454,0.93699
cg05501584,0.17927
cg05515143,0.85262
cg05532892,0.05929
cg05575505,0.30998
cg05575921,0.65254
cg05590616,0.07727
cg05604079,0.14683
cg05613002,0.0226
cg05638439,0.48117
cg05661164,0.89542
cg05697249,0.68394
cg05710301,0.90232
cg05732130,0.03273
cg05737638,0.85198
cg05747812,0.89854
cg05759269,0.04866
cg05782444,0.82722
cg05815247,0.79818
cg05817517,0.06696
cg05839709,0.72258
cg05845376,0.89319
cg05851163,0.05898
cg05890887,0.00718
cg05898102,0.156
cg05971102,0.56101
cg05993589,0.83377
cg05995267,0.07674
cg05996213,0.47617
cg06022832,0.89889
cg06051159,0.69641
cg06127256,0.98901
cg06133392,0.83673
cg06134964,0.42668
cg06144905,0.24517
cg06147196,0.7687
cg06171242,0.042
cg06176987,0.9225
cg06189653,0.02616
cg06213463,0.00274
cg06259664,0.90226
cg06266189,0.48495
cg06295856,0.1468
cg06327515,0.39557
cg06349851,0.90851
cg06363129,0.58993
cg06372850,0.39831
cg06413272,0.75491
cg06418475,0.24749
cg06419850,0.07066
cg06439736,0.93206
cg06440348,0.92359
cg06493994,0.24004
cg06500161,0.62124
cg06513864,0.02551
cg06533629,0.0589
cg06560379,0.09366
cg06563451,0.0775
cg06625640,0.50384
cg06637774,0.46631
cg06638451,0.61065
cg06644428,0.09626
cg06649410,0.52719
cg06690548,0.71437
cg06705834,0.07297
cg06722193,0.19074
cg06752157,0.86056
cg06806711,0.49469
cg06809285,0.88219
cg06809342,0.73426
cg06813250,0.79786
cg06841024,0.04959
cg06854487,0.09448
cg06901711,0.51324
cg06903325,0.89605
cg06908778,0.17214
cg06911753,0.99542
cg06912355,0.86982
cg06946797,0.27419
cg06958034,0.06183
cg06959205,0.5214
cg06975311,0.22369
cg06975499,0.04613
cg06994793,0.0442
cg07017437,0.88218
cg07025011,0.55843
cg07031797,0.14988
cg07038400,0.57726
cg07039560,0.75109
cg07073964,0.51648
cg07105440,0.04354
cg07113802,0.31197
cg07120314,0.00718
cg07127225,0.04673
cg07180649,0.13776
cg07205627,0.39901
cg07211259,0.13792
cg07236943,0.06698
cg07258300,0.93598
cg07265300,0.06915
cg07268726,0.90015
cg07284273,0.13839
cg07338119,0.97323
cg07412232,0.9021
cg07477034,0.25932
cg07484827,0.86593
cg07494518,0.0871
cg07520608,0.17493
cg07529654,0.51522
cg07539443,0.81936
cg07543883,0.61482
cg07553761,0.33756
cg07573872,0.56919
cg07582047,0.01653
cg07592681,0.87261
cg07631435,0.58571
cg07654934,0.0919
cg07660627,0.74019
cg07665217,0.03815
cg07677157,0.20752
cg07690734,0.98731
cg07733920,0.64838
cg07793207,0.19425
cg07817698,0.0253
cg07839457,0.4601
cg07842062,0.67157
cg07850604,0.10545
cg07871532,0.77335
cg07927953,0.93214
cg07929310,0.05924
cg07951602,0.18239
cg07973162,0.77472
cg07984286,0.30656
cg08007899,0.21818
cg08035942,0.09391
cg08055490,0.89037
cg08067365,0.03333
cg08074477,0.58936
cg08074820,0.06763
cg08110610,0.88897
cg08122652,0.76292
cg08138571,0.04116
cg08140104,0.86947
cg08161922,0.06951
cg08169325,0.06901
cg08202754,0.23088
cg08212685,0.23407
cg08251399,0.68168
cg08260658,0.19844
cg08284371,0.1047
cg08331960,0.31562
cg08334432,0.93058
cg08373528,0.91816
cg08405844,0.05983
cg08410533,0.44664
cg08424423,0.81934
cg08439518,0.48486
cg08475827,0.10996
cg08487374,0.03886
cg08529529,0.17848
cg08548559,0.20182
cg08549335,0.31998
cg08586737,0.53273
cg08587542,0.16576
cg08614871,0.45808
cg08645207,0.89704
cg08654655,0.49077
cg08659340,0.91253
cg08667899,0.0
cg08668790,0.264
cg08694544,0.11186
cg08695830,0.07918
cg08706141,0.89992
cg08832227,0.27716
cg08871545,0.16981
cg08872493,0.64398
cg08877853,0.93401
cg08896629,0.03632
cg08899632,0.03759
cg08900043,0.12276
cg08923669,0.36653
cg08926056,0.10723
cg08980304,0.72988
cg09000779,0.53845
cg09045681,0.08178
cg09051966,0.35317
cg09096950,0.43643
cg09144073,0.08486
cg09159795,0.0665
cg09194449,0.27288
cg09196959,0.04347
cg09219182,0.0
cg09225388,0.18376
cg09244872,0.54601
cg09254939,0.11807
cg09279803,0.93133
cg09294589,0.05947
cg09304040,0.06466
cg09315887,0.13818
cg09319676,0.89087
cg09322949,0.08006
cg09351263,0.0304
cg09396704,0.21176
cg09404633,0.31628
cg09413557,0.05936
cg09434995,0.82461
cg09438320,0.80773
cg09480837,0.76276
cg09522532,0.44123
cg09548179,0.05481
cg09556292,0.08331
cg09566331,0.80779
cg09578605,0.84893
cg09584650,0.11444
cg09608412,0.94134
cg09630437,0.08924
cg09690118,0.81523
cg09799873,0.2334
cg09809672,0.35021
cg09826306,0.10015
cg09834822,0.87098
cg09845806,0.54999
cg09851465,0.24395
cg09884076,0.17844
cg09892203,0.01943
cg09899215,0.54371
cg09915601,0.77245
cg09920725,0.0343
cg09971184,0.92091
cg10000096,0.83368
cg10052840,0.49425
cg10068417,0.19855
cg10116490,0.3704
cg10119082,0.10531
cg10120040,0.87558
cg10130564,0.84949
cg10143960,0.2678
cg10144483,0.27485
cg10158181,0.05435
cg10169261,0.00557
cg10177080,0.83143
cg10189661,0.63283
cg10202457,0.1601
cg10202557,0.54358
cg10224107,0.09603
cg10225525,0.91501
cg10323552,0.11173
cg10327168,0.86618
cg10354495,0.86284
cg10407935,0.98232
cg10431713,0.13685
cg10439456,0.45029
cg10508317,0.06873
cg10511249,0.00272
cg10523019,0.18584
cg10530344,0.69354
cg10531748,0.0739
cg10535933,0.04029
cg10549018,0.40127
cg10570177,0.18095
cg10578779,0.0482
cg10584300,0.92577
cg10585941,0.63036
cg10591174,0.47081
cg10636246,0.18462
cg10654016,0.01375
cg10667970,0.06413
cg10669058,0.4782
cg10677351,0.80146
cg10701033,0.85192
cg10747042,0.03473
cg10753966,0.5057
cg10795646,0.21227
cg10853231,0.37216
cg10878896,0.0757
cg10900550,0.11043
cg10917602,0.50809
cg10920224,0.32884
cg10922280,0.4884
cg10940833,0.05315
cg10948795,0.7761
cg11019008,0.94822
cg11020638,0.87591
cg11043909,0.04834
cg11058730,0.00749
cg11074353,0.93735
cg11086127,0.82667
cg11177450,0.0711
cg11207515,0.35462
cg11233384,0.21456
cg11235787,0.77491
cg11237115,0.05922
cg11287647,0.63408
cg11295183,0.90875
cg11299854,0.07477
cg11333189,0.09578
cg11336382,0.44103
cg11426590,0.04534
cg11444009,0.30975
cg11459714,0.04745
cg11487705,0.04198
cg11490446,0.06245
cg11507178,0.09756
cg11539695,0.85445
cg11554391,0.16626
cg11569478,0.91648
cg11594160,0.53569
cg11600161,0.07821
cg11605750,0.93537
cg11618577,0.45808
cg11631518,0.09277
cg11660018,0.43098
cg11764442,0.90354
cg11781622,0.89907
cg11782409,0.83508
cg11833861,0.15441
cg11850311,0.04574
cg11867651,0.13075
cg11896923,0.13672
cg11903057,0.04084
cg11923914,0.92776
cg11932091,0.85591
cg12020464,0.77956
cg12035880,0.58678
cg12051762,0.79685
cg12054453,0.18306
cg12067764,0.47341
cg12112556,0.84033
cg12145907,0.22893
cg12155356,0.08461
cg12157673,0.51877
cg12165215,0.48819
cg12177001,0.8569
cg12188560,0.08889
cg12211040,0.96585
cg12238343,0.11802
cg12247247,0.08682
cg12261786,0.62221
cg12265604,0.08588
cg12269343,0.05425
cg12289045,0.62309
cg12298697,0.40218
cg12324144,0.22663
cg12325588,0.00395
cg12329405,0.0
cg12363682,0.22864
cg12373771,0.20502
cg12379046,0.88888
cg12384004,0.55969
cg12386614,0.88353
cg12396523,0.07074
cg12402251,0.13349
cg12458003,0.73397
cg12465010,0.93987
cg12473775,0.80335
cg12473849,0.78538
cg12483947,0.2467
cg12486944,0.83025
cg12511214,0.04819
cg12516875,0.57548
cg12599971,0.03153
cg12605080,0.69705
cg12612118,0.07813
cg12683410,0.89748
cg12716346,0.87836
cg12743894,0.04735
cg12791136,0.69773
cg12813792,0.6721
cg12831076,0.73915
cg12846567,0.8356
cg12864235,0.81549
cg12893697,0.3006
cg12918464,0.88263
cg12927358,0.02536
cg12977946,0.73995
cg12980795,0.55516
cg12985418,0.05016
cg12988996,0.09542
cg12991365,0.36948
cg12991522,0.07424
cg13001142,0.41308
cg13029847,0.08152
cg13042288,0.86826
cg13077366,0.1689
cg13092901,0.10404
cg13119609,0.53922
cg13120519,0.07461
cg13155421,0.81975
cg13180152,0.88521
cg13218906,0.06397
cg13258700,0.18193
cg13287247,0.67785
cg13296371,0.37379
cg13307384,0.67383
cg13309828,0.52552
cg13316619,0.70857
cg13323474,0.03126
cg13351161,0.44471
cg13371627,0.8928
cg13398470,0.34598
cg13406893,0.9071
cg13409216,0.04402
cg13428009,0.05879
cg13446658,0.04436
cg13449372,0.93756
cg13457961,0.01171
cg13458005,0.82774
cg13460409,0.26635
cg13499318,0.37522
cg13509147,0.08116
cg13510262,0.08058
cg13514050,0.04784
cg13518625,0.08969
cg13543355,0.1784
cg13550401,0.17327
cg13550877,0.90509
cg13564075,0.05063
cg13565994,0.91225
cg13571802,0.87825
cg13574848,0.90702
cg13587552,0.77367
cg13589330,0.01731
cg13603203,0.92014
cg13606988,0.91731
cg13611456,0.81835
cg13613532,0.04899
cg13620770,0.11479
cg13631913,0.0602
cg13634681,0.81802
cg13649020,0.88204
cg13649864,0.75834
cg13650654,0.70762
cg13654195,0.10574
cg13656062,0.88036
cg13656360,0.0453
cg13657511,0.92629
cg13667243,0.64211
cg13673536,0.71241
cg13678787,0.9246
cg13700897,0.12773
cg13718960,0.87593
cg13724379,0.01025
cg13728106,0.91565
cg13772414,0.44745
cg13842421,0.65949
cg13843773,0.04295
cg13854874,0.28935
cg13861644,0.68813
cg13873209,0.73773
cg13875901,0.13203
cg13898384,0.87166
cg13899108,0.44786
cg13915886,0.79551
cg13917964,0.07392
cg13947317,0.91237
cg13975369,0.30918
cg13990487,0.87136
cg13994175,0.04901
cg14009688,0.62959
cg14084907,0.14365
cg14088844,0.85124
cg14105047,0.07039
cg14153919,0.64686
cg14159818,0.11339
cg14175438,0.13168
cg14223995,0.23414
cg14234805,0.00274
cg14260002,0.90949
cg14268714,0.88982
cg14281160,0.05508
cg14350002,0.0735
cg14355192,0.06409
cg14371731,0.14316
cg14387545,0.00317
cg14423778,0.26301
cg14457452,0.9265
cg14467840,0.76273
cg14473016,0.14586
cg14476101,0.45124
cg14508358,0.34163
cg14508777,0.73378
cg14528319,0.88813
cg14528537,0.04569
cg14543641,0.68735
cg14545159,0.92336
cg14550518,0.068
cg14592365,0.52
cg14626196,0.95851
cg14652203,0.79376
cg14689355,0.08974
cg14700531,0.61597
cg14709691,0.00594
cg14716323,0.9178
cg14747225,0.01021
cg14754581,0.05639
cg14825555,0.46596
cg14868212,0.39868
cg14870958,0.92024
cg14889658,0.66528
cg14916213,0.0707
cg14918082,0.73972
cg14924781,0.83758
cg14928764,0.79585
cg14955976,0.31906
cg14972143,0.27928
cg14984434,0.89731
cg15001547,0.81724
cg15011409,0.59966
cg15012625,0.55405
cg15013019,0.09682
cg15016740,0.8981
cg15089567,0.86121
cg15171237,0.94551
cg15174951,0.03535
cg15201877,0.202
cg15211499,0.01393
cg15228492,0.82479
cg15258649,0.88788
cg15290848,0.82064
cg15344028,0.4528
cg15355146,0.21923
cg15381313,0.87244
cg15410835,0.49967
cg15427448,0.01651
cg15447479,0.06687
cg15471661,0.77971
cg15489301,0.44538
cg15498283,0.10646
cg15551881,0.33542
cg15569512,0.04448
cg15573979,0.044
cg15600935,0.94407
cg15611364,0.03772
cg15631106,0.86794
cg15642326,0.25727
cg15651727,0.53673
cg15658426,0.50945
cg15679283,0.96534
cg15705999,0.30985
cg15709989,0.35609
cg15777014,0.65809
cg15777335,0.95374
cg15783941,0.86145
cg15808795,0.88833
cg15811427,0.72474
cg15815084,0.51253
cg15822010,0.98073
cg15845365,0.05402
cg15849439,0.90327
cg15856055,0.11409
cg15860924,0.86187
cg15876825,0.99212
cg15881088,0.07289
cg15887846,0.4428
cg15903282,0.7622
cg15947697,0.45285
cg15963417,0.03161
cg15966757,0.90386
cg15988937,0.78744
cg15997315,0.89864
cg16067628,0.78118
cg16085042,0.06511
cg16173067,0.88152
cg16188984,0.49039
cg16246188,0.90703
cg16252995,0.88153
cg16274199,0.0256
cg16295988,0.08008
cg16305333,0.14935
cg16313343,0.16613
cg16319578,0.16
cg16340918,0.03347
cg16354207,0.17305
cg16357381,0.05723
cg16372520,0.4327
cg16383389,0.04798
cg16385335,0.57451
cg16400903,0.01006
cg16408970,0.15701
cg16416603,0.85418
cg16466334,0.90666
cg16511983,0.59084
cg16543027,0.09531
cg16558846,0.6554
cg16569347,0.88991
cg16612562,0.54422
cg16648841,0.69386
cg16649728,0.81644
cg16665506,0.91947
cg16700924,0.10088
cg16704703,0.47539
cg16708495,0.87103
cg16713727,0.85499
cg16718891,0.09131
cg16728114,0.09752
cg16730765,0.93422
cg16743289,0.53877
cg16816226,0.04304
cg16821867,0.91071
cg16847637,0.93406
cg16854606,0.60806
cg16887334,0.52559
cg16928551,0.86456
cg16933388,0.22072
cg16978914,0.09654
cg16982073,0.86425
cg16983817,0.01064
cg16984944,0.19896
cg17009433,0.11497
cg17025841,0.81613
cg17038116,0.02413
cg17058475,0.07621
cg17096289,0.65186
cg17100770,0.90773
cg17116694,0.92695
cg17117459,0.05251
cg17129388,0.71291
cg17133388,0.089
cg17133967,0.0222
cg17177219,0.01062
cg17215151,0.88311
cg17220237,0.08183
cg17255947,0.05589
cg17262492,0.82074
cg17286012,0.68419
cg17287155,0.90979
cg17310258,0.54301
cg17324128,0.16469
cg17382302,0.59291
cg17431739,0.23792
cg17440248,0.73182
cg17500754,0.09427
cg17501210,0.57905
cg17526300,0.03375
cg17533522,0.3631
cg17536848,0.05975
cg17543884,0.54457
cg17560136,0.68686
cg17561365,0.81564
cg17591574,0.86041
cg17598713,0.03855
cg17605084,0.05838
cg17627559,0.14009
cg17639894,0.0
cg17641104,0.076
cg17676631,0.26398
cg17719473,0.92674
cg17726022,0.04119
cg17744279,0.76061
cg17747265,0.37761
cg17749443,0.18358
cg17758363,0.39636
cg17770886,0.12925
cg17803430,0.90462
cg17850642,0.64388
cg17861230,0.36357
cg17886420,0.71807
cg17894318,0.31066
cg17896249,0.05051
cg17903544,0.04838
cg17923358,0.1682
cg17940013,0.15713
cg17966192,0.18256
cg17981101,0.88421
cg18001427,0.1037
cg18003795,0.88364
cg18098839,0.10592
cg18116267,0.95279
cg18117393,0.91429
cg18148156,0.77664
cg18159533,0.95959
cg18181703,0.3924
cg18234973,0.92852
cg18241647,0.84947
cg18267374,0.1432
cg18278247,0.07058
cg18331061,0.91554
cg18345924,0.39659
cg18376497,0.17722
cg18384097,0.0921
cg18388639,0.02792
cg18392482,0.65534
cg18394552,0.62233
cg18405719,0.40763
cg18425651,0.92453
cg18468844,0.72869
cg18569704,0.00789
cg18584747,0.04449
cg18587364,0.09823
cg18593194,0.44584
cg18607491,0.01654
cg18638931,0.6529
cg18691434,0.18961
cg18693704,0.11242
cg18718984,0.88021
cg18732541,0.0997
cg18771300,0.56122
cg18809289,0.16905
cg18853287,0.8969
cg18881501,0.20671
cg18886347,0.28132
cg18892128,0.00478
cg18951537,0.89877
cg18995788,0.79238
cg18996776,0.061
cg19008809,0.06115
cg19012696,0.85377
cg19028160,0.06744
cg19033875,0.06459
cg19061798,0.82614
cg19076659,0.72166
cg19080320,0.91833
cg19083871,0.00745
cg19104072,0.07834
cg19149785,0.58939
cg19174059,0.85597
cg19196326,0.78173
cg19253577,0.60748
cg19283806,0.0993
cg19287114,0.06097
cg19297232,0.82372
cg19328485,0.75015
cg19345165,0.00854
cg19356189,0.31172
cg19371795,0.39503
cg19378133,0.23236
cg19389001,0.05962
cg19393314,0.82713
cg19398783,0.05646
cg19414383,0.53848
cg19439331,0.06385
cg19459791,0.7462
cg19471466,0.0914
cg19491388,0.8672
cg19501902,0.70973
cg19510604,0.9091
cg19514469,0.65122
cg19556572,0.87245
cg19560210,0.92225
cg19566405,0.17763
cg19570545,0.0605
cg19573166,0.34465
cg19586576,0.16938
cg19601991,0.0041
cg19615059,0.21639
cg19617213,0.0241
cg19632206,0.11127
cg19647685,0.88869
cg19663795,0.08684
cg19685066,0.82658
cg19686152,0.55007
cg19693031,0.79199
cg19694465,0.83052
cg19717326,0.77393
cg19719391,0.62258
cg19722847,0.11929
cg19724470,0.13632
cg19731122,0.51453
cg19761014,0.08853
cg19778944,0.00413
cg19783150,0.93292
cg19795482,0.07416
cg19802390,0.49615
cg19859270,0.86557
cg19883905,0.14815
cg19935065,0.57913
cg19987111,0.91206
cg20066677,0.95109
cg20090497,0.86752
cg20150163,0.0
cg20162159,0.04513
cg20173259,0.08651
cg20234170,0.07202
cg20240347,0.82146
cg20245361,0.85877
cg20246707,0.9184
cg20248954,0.00167
cg20327105,0.16349
cg20352798,0.06286
cg20361594,0.95314
cg20405584,0.02964
cg20433952,0.47969
cg20459712,0.54691
cg20462449,0.90161
cg20468415,0.62022
cg20492933,0.08536
cg20550050,0.92715
cg20550118,0.12256
cg20569940,0.91841
cg20570279,0.2192
cg20572838,0.0637
cg20576510,0.89978
cg20585830,0.72496
cg20652640,0.07752
cg20656525,0.42995
cg20660989,0.81757
cg20674577,0.28663
cg20747455,0.84633
cg20761322,0.19946
cg20800892,0.86148
cg20801751,0.90196
cg20828084,0.85197
cg20891917,0.80387
cg20915897,0.912
cg20923047,0.05522
cg20941739,0.91625
cg20951650,0.93371
cg20967028,0.91146
cg21006686,0.64199
cg21036336,0.10487
cg21053529,0.16836
cg21081971,0.57
cg21091547,0.61418
cg21099326,0.0911
cg21112391,0.74254
cg21120063,0.76033
cg21120249,0.47375
cg21137706,0.03809
cg21184495,0.13012
cg21200703,0.37257
cg21201109,0.6409
cg21207418,0.78553
cg21208062,0.88567
cg21227060,0.87173
cg21272576,0.88265
cg21280384,0.04596
cg21288889,0.53517
cg21296230,0.22249
cg21348173,0.77941
cg21363706,0.87984
cg21368094,0.8287
cg21459583,0.58002
cg21462914,0.97753
cg21566642,0.38809
cg21574681,0.9037
cg21579274,0.12004
cg21584251,0.77623
cg21614211,0.66978
cg21649005,0.9074
cg21649520,0.88812
cg21656736,0.9114
cg21658515,0.90937
cg21710255,0.73679
cg21712685,0.072
cg21727276,0.90234
cg21736089,0.99429
cg21761813,0.90422
cg21762589,0.53636
cg21770393,0.05848
cg21777188,0.53987
cg21789941,0.39274
cg21791657,0.9857
cg21801378,0.10283
cg21833476,0.04029
cg21835643,0.21648
cg21843627,0.8699
cg21879240,0.90192
cg21899558,0.92524
cg21907579,0.16466
cg21924273,0.00095
cg21926612,0.15476
cg21960184,0.87887
cg21992507,0.86124
cg21993406,0.52641
cg22030032,0.0972
cg22047262,0.88735
cg22090064,0.91894
cg22090592,0.52813
cg22156456,0.14119
cg22157525,0.98532
cg22163406,0.84229
cg22179082,0.14852
cg22194129,0.75804
cg22197830,0.58453
cg22277972,0.07917
cg22282672,0.28484
cg22322818,0.88103
cg22355889,0.08857
cg22395019,0.13642
cg22396353,0.00332
cg22407458,0.04965
cg22455450,0.20534
cg22473095,0.05187
cg22484793,0.72896
cg22495124,0.90099
cg22510139,0.47929
cg22510362,0.75407
cg22511262,0.14356
cg22512531,0.76558
cg22518157,0.35392
cg22519313,0.79126
cg22538557,0.07471
cg22580353,0.3907
cg22582569,0.03612
cg22594309,0.03974
cg22616007,0.91138
cg22620356,0.80987
cg22650271,0.6503
cg22659049,0.54705
cg22660341,0.93834
cg22660904,0.45369
cg22663545,0.04662
cg22704788,0.85221
cg22714094,0.05072
cg22736354,0.32089
cg22744079,0.62428
cg22778797,0.88471
cg22809047,0.75019
cg22820188,0.34278
cg22850234,0.04593
cg22866430,0.80309
cg22871721,0.80749
cg22902266,0.17285
cg22930808,0.62096
cg22947000,0.2923
cg22971191,0.86817
cg22983092,0.74312
cg22983827,0.91234
cg22991148,0.10636
cg23036136,0.82805
cg23047825,0.71821
cg23124451,0.42745
cg23127998,0.19498
cg23152772,0.33463
cg23159337,0.46121
cg23173910,0.8787
cg23191950,0.27409
cg23213217,0.28113
cg23234999,0.66682
cg23239039,0.12295
cg23251761,0.57145
cg23278885,0.81114
