ID_REF,decelerated_age62
cg20162159,0.06822
cg20173259,0.09043
cg20234170,0.08614
cg20240347,0.63873
cg20245361,0.86807
cg20246707,0.90549
cg20248954,0.01425
cg20327105,0.14961
cg20352798,0.11277
cg20361594,0.92438
cg20405584,0.03721
cg20433952,0.53244
cg20459712,0.44952
cg20462449,0.93078
cg20468415,0.72688
cg20492933,0.05227
cg20550050,0.91248
cg20550118,0.15912
cg20569940,0.90129
cg20570279,0.21226
cg20572838,0.07922
cg20576510,0.93878
cg20585830,0.75155
cg20652640,0.10699
cg20656525,0.53908
cg20660989,0.78497
cg20674577,0.22527
cg20747455,0.73095
cg20761322,0.14874
cg20800892,0.85107
cg20801751,0.89851
cg20828084,0.8222
cg20891917,0.87716
cg20915897,0.90867
cg20923047,0.04121
cg20941739,0.92057
cg20951650,0.89702
cg20967028,0.88584
cg21006686,0.6524
cg21036336,0.1253
cg21053529,0.17652
cg21081971,0.55069
cg21091547,0.71303
cg21099326,0.06071
cg21112391,0.72916
cg21120063,0.76327
cg21120249,0.52917
cg21137706,0.02877
cg21184495,0.14496
cg21200703,0.47789
cg21201109,0.7319
cg21207418,0.75536
cg21208062,0.88367
cg21227060,0.87131
cg21272576,0.87644
cg21280384,0.05285
cg21288889,0.53688
cg21296230,0.20185
cg21348173,0.82327
cg21363706,0.86419
cg21368094,0.83533
cg21459583,0.63927
cg21462914,0.99237
cg21566642,0.54631
cg21574681,0.88713
cg21579274,0.09904
cg21584251,0.59105
cg21614211,0.68608
cg21649005,0.87954
cg21649520,0.85465
cg21656736,0.88403
cg21658515,0.89511
cg21710255,0.71035
cg21712685,0.07196
cg21727276,0.8735
cg21736089,0.99457
cg21761813,0.9624
cg21762589,0.66648
cg21770393,0.07303
cg21777188,0.32111
cg21789941,0.43232
cg21791657,0.9676
cg21801378,0.07075
cg21833476,0.05332
cg21835643,0.27514
cg21843627,0.8787
cg21879240,0.88514
cg21899558,0.87439
cg21907579,0.17118
cg21924273,0.0114
cg21926612,0.24271
cg21960184,0.88718
cg21992507,0.85855
cg21993406,0.52267
cg22030032,0.09508
cg22047262,0.89584
cg22090064,0.91323
cg22090592,0.57501
cg22156456,0.2049
cg22157525,0.99148
cg22163406,0.83241
cg22179082,0.1417
cg22194129,0.75358
cg22197830,0.66405
cg22277972,0.05963
cg22282672,0.22292
cg22322818,0.87232
cg22355889,0.50597
cg22395019,0.11828
cg22396353,0.0
cg22407458,0.02843
cg22455450,0.14412
cg22473095,0.05905
cg22484793,0.76961
cg22495124,0.89573
cg22510139,0.53652
cg22510362,0.7761
cg22511262,0.14072
cg22512531,0.7575
cg22518157,0.35258
cg22519313,0.78573
cg22538557,0.06041
cg22580353,0.42938
cg22582569,0.04691
cg22594309,0.04905
cg22616007,0.90242
cg22620356,0.82218
cg22650271,0.6968
cg22659049,0.86189
cg22660341,0.94262
cg22660904,0.48475
cg22663545,0.0437
cg22704788,0.79566
cg22714094,0.05427
cg22736354,0.3189
cg22744079,0.70845
cg22778797,0.87676
cg22809047,0.70109
cg22820188,0.36127
cg22850234,0.06676
cg22866430,0.79882
cg22871721,0.80136
cg22902266,0.1615
cg22930808,0.66386
cg22947000,0.38907
cg22971191,0.85132
cg22983092,0.77622
cg22983827,0.90309
cg22991148,0.11005
cg23036136,0.86891
cg23047825,0.06115
cg23124451,0.45239
cg23127998,0.15311
cg23152772,0.34437
cg23159337,0.63533
cg23173910,0.87287
cg23191950,0.22661
cg23213217,0.22243
cg23234999,0.79919
cg23239039,0.17349
cg23251761,0.57367
