ID_REF,ontrack_age59
cg08055490,0.91376
cg08067365,0.04397
cg08074477,0.59206
cg08074820,0.14518
cg08110610,0.85539
cg08122652,0.8086
cg08138571,0.04084
cg08140104,0.86994
cg08161922,0.16121
cg08169325,0.07887
cg08202754,0.16877
cg08212685,0.16237
cg08251399,0.61754
cg08260658,0.06226
cg08284371,0.0746
cg08331960,0.29192
cg08334432,0.89358
cg08373528,0.87595
cg08405844,0.05565
cg08410533,0.52284
cg08424423,0.86293
cg08439518,0.43585
cg08475827,0.11966
cg08487374,0.03972
cg08529529,0.11364
cg08548559,0.2317
cg08549335,0.41949
cg08586737,0.5209
cg08587542,0.20196
cg08614871,0.50703
cg08645207,0.90137
cg08654655,0.51898
cg08659340,0.92232
cg08667899,0.00967
cg08668790,0.15421
cg08694544,0.13748
cg08695830,0.09413
cg08706141,0.88613
cg08832227,0.14807
cg08871545,0.18708
cg08872493,0.69042
cg08877853,0.91838
cg08896629,0.03511
cg08899632,0.03716
cg08900043,0.09172
cg08923669,0.31943
cg08926056,0.08276
cg08980304,0.82065
cg09000779,0.47852
cg09045681,0.09288
cg09051966,0.54462
cg09096950,0.32672
cg09144073,0.07525
cg09159795,0.07614
cg09194449,0.22038
cg09196959,0.06468
cg09219182,0.49798
cg09225388,0.14773
cg09244872,0.6653
cg09254939,0.09321
cg09279803,0.91854
cg09294589,0.05894
cg09304040,0.06733
cg09315887,0.17987
cg09319676,0.92354
cg09322949,0.04944
cg09351263,0.33843
cg09396704,0.1071
cg09404633,0.36673
cg09413557,0.05637
cg09434995,0.82699
cg09438320,0.82114
cg09480837,0.8023
cg09522532,0.44735
cg09548179,0.0809
cg09556292,0.10328
cg09566331,0.83528
cg09578605,0.82753
cg09584650,0.06156
cg09608412,0.94224
cg09630437,0.10489
cg09690118,0.79347
cg09799873,0.22204
cg09809672,0.32182
cg09826306,0.14225
cg09834822,0.84425
cg09845806,0.56686
cg09851465,0.22775
cg09884076,0.10429
cg09892203,0.00835
cg09899215,0.45185
cg09915601,0.73419
cg09920725,0.04519
cg09971184,0.86839
cg10000096,0.84129
cg10052840,0.54446
cg10068417,0.20771
cg10116490,0.30512
cg10119082,0.15536
cg10120040,0.87794
cg10130564,0.75666
cg10143960,0.17725
cg10144483,0.25683
cg10158181,0.06335
cg10169261,0.00355
cg10177080,0.79953
cg10189661,0.66262
cg10202457,0.14462
cg10202557,0.58965
cg10224107,0.12898
cg10225525,0.91019
cg10323552,0.15468
cg10327168,0.89537
cg10354495,0.85753
cg10407935,0.97901
cg10431713,0.12656
cg10439456,0.43607
cg10508317,0.15746
cg10511249,0.01111
cg10523019,0.18555
cg10530344,0.68656
cg10531748,0.0961
cg10535933,0.03916
cg10549018,0.46783
cg10570177,0.16799
cg10578779,0.03768
cg10584300,0.94388
cg10585941,0.62653
cg10591174,0.45529
cg10636246,0.34271
cg10654016,0.00985
cg10667970,0.06028
cg10669058,0.40338
cg10677351,0.84943
cg10701033,0.83381
cg10747042,0.03118
cg10753966,0.60375
cg10795646,0.24494
cg10853231,0.36879
cg10878896,0.0586
cg10900550,0.11402
cg10917602,0.60857
cg10920224,0.44147
cg10922280,0.38465
cg10940833,0.04806
cg10948795,0.79165
cg11019008,0.94832
cg11020638,0.82348
cg11043909,0.05546
cg11058730,0.00254
cg11074353,0.91338
cg11086127,0.84614
cg11177450,0.09231
cg11207515,0.48584
cg11233384,0.27193
cg11235787,0.77051
cg11237115,0.0537
cg11287647,0.88489
cg11295183,0.90758
cg11299854,0.19245
cg11333189,0.11084
cg11336382,0.41656
cg11426590,0.04896
cg11444009,0.28783
cg11459714,0.02725
cg11487705,0.04015
cg11490446,0.06798
cg11507178,0.09352
cg11539695,0.89951
cg11554391,0.14158
cg11569478,0.91012
cg11594160,0.90025
cg11600161,0.08727
cg11605750,0.93221
cg11618577,0.59106
cg11631518,0.07439
cg11660018,0.41178
cg11764442,0.88775
cg11781622,0.90357
cg11782409,0.79625
cg11833861,0.09391
cg11850311,0.03032
cg11867651,0.13495
cg11896923,0.15738
cg11903057,0.05784
cg11923914,0.92698
cg11932091,0.89644
cg12020464,0.946
cg12035880,0.56656
cg12051762,0.70004
cg12054453,0.26297
cg12067764,0.4151
cg12112556,0.82401
cg12145907,0.21589
cg12155356,0.07082
cg12157673,0.48319
cg12165215,0.34816
cg12177001,0.85657
cg12188560,0.10159
cg12211040,0.93656
cg12238343,0.11459
cg12247247,0.08259
cg12261786,0.63139
cg12265604,0.07153
cg12269343,0.04383
cg12289045,0.60113
cg12298697,0.41778
cg12324144,0.13989
cg12325588,0.00367
cg12329405,0.0
cg12363682,0.22422
cg12373771,0.18583
cg12379046,0.88934
cg12384004,0.43812
cg12386614,0.87676
cg12396523,0.12389
cg12402251,0.13671
cg12458003,0.64382
cg12465010,0.92523
cg12473775,0.75461
cg12473849,0.75963
cg12483947,0.23241
cg12486944,0.78139
cg12511214,0.07533
cg12516875,0.74892
cg12599971,0.24601
cg12605080,0.68814
cg12612118,0.06674
cg12683410,0.89053
cg12716346,0.87762
cg12743894,0.03704
cg12791136,0.60266
cg12813792,0.6325
cg12831076,0.76186
cg12846567,0.83935
cg12864235,0.81443
cg12893697,0.47425
cg12918464,0.85026
cg12927358,0.05439
cg12977946,0.73526
cg12980795,0.58314
cg12985418,0.06335
cg12988996,0.06868
cg12991365,0.27384
cg12991522,0.07351
cg13001142,0.72611
cg13029847,0.10143
cg13042288,0.88019
cg13077366,0.17766
cg13092901,0.08445
cg13119609,0.59455
cg13120519,0.06137
cg13155421,0.86179
cg13180152,0.88386
cg13218906,0.07193
cg13258700,0.16242
cg13287247,0.62697
cg13296371,0.3081
cg13307384,0.6629
cg13309828,0.52289
cg13316619,0.65941
cg13323474,0.03657
cg13351161,0.36749
cg13371627,0.90452
cg13398470,0.21151
cg13406893,0.88055
cg13409216,0.04122
cg13428009,0.07155
cg13446658,0.04524
cg13449372,0.94086
cg13457961,0.01159
cg13458005,0.87985
cg13460409,0.26668
cg13499318,0.58268
cg13509147,0.11933
cg13510262,0.06734
cg13514050,0.05136
cg13518625,0.1041
cg13543355,0.15903
cg13550401,0.11927
cg13550877,0.88219
cg13564075,0.05618
cg13565994,0.92783
cg13571802,0.85244
cg13574848,0.86548
cg13587552,0.76898
cg13589330,0.02055
cg13603203,0.9018
cg13606988,0.90408
cg13611456,0.7943
cg13613532,0.0533
cg13620770,0.11977
cg13631913,0.05578
cg13634681,0.83895
cg13649020,0.87613
cg13649864,0.74764
cg13650654,0.72605
cg13654195,0.12237
cg13656062,0.85504
cg13656360,0.04622
cg13657511,0.92557
cg13667243,0.59499
cg13673536,0.66135
cg13678787,0.93285
cg13700897,0.13976
cg13718960,0.8778
cg13724379,0.00655
cg13728106,0.90945
cg13772414,0.4314
cg13842421,0.77013
cg13843773,0.03934
cg13854874,0.21714
cg13861644,0.65531
cg13873209,0.80565
cg13875901,0.12398
cg13898384,0.82717
cg13899108,0.42244
cg13915886,0.75865
cg13917964,0.18001
cg13947317,0.91393
cg13975369,0.29654
cg13990487,0.89223
cg13994175,0.0541
cg14009688,0.62218
cg14084907,0.16867
cg14088844,0.82897
cg14105047,0.08316
cg14153919,0.57688
cg14159818,0.12059
cg14175438,0.19108
cg14223995,0.17172
cg14234805,0.00336
cg14260002,0.89227
cg14268714,0.84851
cg14281160,0.06044
cg14350002,0.08235
cg14355192,0.07416
cg14371731,0.05047
cg14387545,0.0069
cg14423778,0.34045
cg14457452,0.9257
cg14467840,0.69993
cg14473016,0.12139
cg14476101,0.66473
cg14508358,0.44777
cg14508777,0.74623
cg14528319,0.8792
cg14528537,0.06249
cg14543641,0.67952
cg14545159,0.90892
cg14550518,0.05086
cg14592365,0.49316
cg14626196,0.94199
cg14652203,0.83425
cg14689355,0.1136
cg14700531,0.59693
cg14709691,0.00528
cg14716323,0.90542
cg14747225,0.01825
cg14754581,0.0491
cg14825555,0.45008
cg14868212,0.37021
cg14870958,0.92619
cg14889658,0.58392
cg14916213,0.06411
cg14918082,0.76673
cg14924781,0.80791
cg14928764,0.80164
cg14955976,0.37124
cg14972143,0.20253
cg14984434,0.83651
cg15001547,0.74431
cg15011409,0.38126
cg15012625,0.52038
cg15013019,0.09646
cg15016740,0.89681
cg15089567,0.85757
cg15171237,0.90654
cg15174951,0.03363
cg15201877,0.18924
cg15211499,0.00183
cg15228492,0.84446
cg15258649,0.93922
cg15290848,0.77818
cg15344028,0.67872
cg15355146,0.20428
cg15381313,0.86057
cg15410835,0.50601
cg15427448,0.02234
cg15447479,0.06879
cg15471661,0.79569
cg15489301,0.48765
cg15498283,0.08516
cg15551881,0.27101
cg15569512,0.04612
cg15573979,0.06058
cg15600935,0.93634
cg15611364,0.02447
cg15631106,0.89805
cg15642326,0.23187
cg15651727,0.71906
cg15658426,0.49784
cg15679283,0.98227
cg15705999,0.34386
cg15709989,0.37245
cg15777014,0.57051
cg15777335,0.97165
cg15783941,0.85145
cg15808795,0.86282
cg15811427,0.72978
cg15815084,0.59286
cg15822010,0.99364
cg15845365,0.05745
cg15849439,0.93894
cg15856055,0.10286
cg15860924,0.89124
cg15876825,0.95914
cg15881088,0.08116
cg15887846,0.42756
cg15903282,0.73494
cg15947697,0.0298
cg15963417,0.0327
cg15966757,0.92465
cg15988937,0.84623
cg15997315,0.8818
cg16067628,0.85255
cg16085042,0.07601
cg16173067,0.87682
cg16188984,0.53273
cg16246188,0.87175
cg16252995,0.80518
cg16274199,0.00884
cg16295988,0.0866
cg16305333,0.14944
cg16313343,0.19159
cg16319578,0.13076
cg16340918,0.04841
cg16354207,0.15457
cg16357381,0.05588
cg16372520,0.45301
cg16383389,0.05045
cg16385335,0.62027
cg16400903,0.04315
cg16408970,0.11256
cg16416603,0.84677
cg16466334,0.89576
cg16511983,0.5836
cg16543027,0.10941
cg16558846,0.66623
cg16569347,0.87227
cg16612562,0.46124
cg16648841,0.81939
cg16649728,0.81573
cg16665506,0.93868
cg16700924,0.03779
cg16704703,0.59366
cg16708495,0.84795
cg16713727,0.84048
cg16718891,0.09532
cg16728114,0.10354
cg16730765,0.91794
cg16743289,0.50985
cg16816226,0.08684
cg16821867,0.93246
cg16847637,0.93539
cg16854606,0.62224
cg16887334,0.57691
cg16928551,0.82284
cg16933388,0.16319
cg16978914,0.15283
cg16982073,0.93311
cg16983817,0.0
cg16984944,0.16622
cg17009433,0.10655
cg17025841,0.80362
cg17038116,0.04552
cg17058475,0.07926
cg17096289,0.84758
cg17100770,0.91183
cg17116694,0.93356
cg17117459,0.11611
cg17129388,0.67494
cg17133388,0.07519
cg17133967,0.01419
cg17177219,0.00154
cg17215151,0.79743
cg17220237,0.77384
cg17255947,0.05404
cg17262492,0.86704
cg17286012,0.72418
cg17287155,0.91803
cg17310258,0.50454
cg17324128,0.19556
cg17382302,0.43661
cg17431739,0.27519
cg17440248,0.80167
cg17500754,0.09134
cg17501210,0.71231
cg17526300,0.03632
cg17533522,0.2546
cg17536848,0.04632
cg17543884,0.40129
cg17560136,0.72298
cg17561365,0.82345
cg17591574,0.87725
cg17598713,0.03838
cg17605084,0.04107
cg17627559,0.12645
cg17639894,0.0
cg17641104,0.09692
cg17676631,0.23807
cg17719473,0.91072
cg17726022,0.04402
cg17744279,0.78114
cg17747265,0.20365
cg17749443,0.10204
cg17758363,0.38891
cg17770886,0.15226
cg17803430,0.91101
cg17850642,0.37891
cg17861230,0.2546
cg17886420,0.65667
cg17894318,0.24957
cg17896249,0.05034
cg17903544,0.01306
cg17923358,0.1574
cg17940013,0.17008
cg17966192,0.13122
cg17981101,0.87706
cg18001427,0.07315
cg18003795,0.87793
cg18098839,0.08539
cg18116267,0.94074
cg18117393,0.93216
cg18148156,0.74859
cg18159533,0.9783
cg18181703,0.48402
cg18234973,0.93624
cg18241647,0.87157
cg18267374,0.15755
cg18278247,0.07079
cg18331061,0.91104
cg18345924,0.57096
cg18376497,0.25816
cg18384097,0.08554
cg18388639,0.05262
cg18392482,0.63701
cg18394552,0.5713
cg18405719,0.49099
cg18425651,0.92007
cg18468844,0.65102
cg18569704,0.01261
cg18584747,0.04223
cg18587364,0.08975
cg18593194,0.45013
cg18607491,0.0218
cg18638931,0.70315
cg18691434,0.22516
cg18693704,0.13747
cg18718984,0.91568
cg18732541,0.04176
cg18771300,0.51177
cg18809289,0.16991
cg18853287,0.89352
cg18881501,0.29488
cg18886347,0.33695
cg18892128,0.0
cg18951537,0.92026
cg18995788,0.868
cg18996776,0.06532
cg19008809,0.08661
cg19012696,0.88546
cg19028160,0.09633
cg19033875,0.07811
cg19061798,0.80912
cg19076659,0.65433
cg19080320,0.9292
cg19083871,0.01853
cg19104072,0.08652
cg19149785,0.67825
cg19174059,0.84151
cg19196326,0.76302
cg19253577,0.57589
cg19283806,0.24232
cg19287114,0.06044
cg19297232,0.51457
cg19328485,0.78935
cg19345165,0.00589
cg19356189,0.3862
cg19371795,0.37421
cg19378133,0.27037
cg19389001,0.02553
cg19393314,0.80813
cg19398783,0.0528
cg19414383,0.49837
cg19439331,0.06371
cg19459791,0.70252
cg19471466,0.10483
cg19491388,0.91459
cg19501902,0.73984
cg19510604,0.87368
cg19514469,0.66703
cg19556572,0.85714
cg19560210,0.93978
cg19566405,0.19212
cg19570545,0.03976
cg19573166,0.35306
cg19586576,0.15065
cg19601991,0.0
cg19615059,0.20163
cg19617213,0.01349
cg19632206,0.16316
cg19647685,0.88844
cg19663795,0.08915
cg19685066,0.83744
cg19686152,0.57027
cg19693031,0.6912
cg19694465,0.73651
cg19717326,0.72596
cg19719391,0.5278
cg19722847,0.14456
cg19724470,0.19988
cg19731122,0.42758
cg19761014,0.0645
cg19778944,0.00467
cg19783150,0.94125
cg19795482,0.03841
cg19802390,0.54457
cg19859270,0.86179
cg19883905,0.10874
cg19935065,0.47171
cg19987111,0.95222
cg20066677,0.96176
cg20090497,0.90687
cg20150163,0.00244
cg20162159,0.06444
cg20173259,0.09672
cg20234170,0.0769
cg20240347,0.66879
cg20245361,0.88166
cg20246707,0.93648
cg20248954,0.01429
cg20327105,0.15756
cg20352798,0.06351
cg20361594,0.95202
cg20405584,0.03016
cg20433952,0.48643
cg20459712,0.56911
cg20462449,0.92869
cg20468415,0.67254
cg20492933,0.09077
cg20550050,0.91752
cg20550118,0.10329
cg20569940,0.84476
cg20570279,0.20118
cg20572838,0.08462
cg20576510,0.95449
cg20585830,0.75538
cg20652640,0.13063
cg20656525,0.43599
cg20660989,0.73082
cg20674577,0.24659
cg20747455,0.75933
cg20761322,0.19142
cg20800892,0.88249
cg20801751,0.90009
cg20828084,0.83035
cg20891917,0.82619
cg20915897,0.90048
cg20923047,0.0546
cg20941739,0.89501
cg20951650,0.88816
cg20967028,0.93073
cg21006686,0.61892
cg21036336,0.1139
cg21053529,0.1976
cg21081971,0.40786
cg21091547,0.67929
cg21099326,0.09297
cg21112391,0.74722
cg21120063,0.7385
cg21120249,0.52317
cg21137706,0.04484
cg21184495,0.16522
cg21200703,0.35635
cg21201109,0.64388
cg21207418,0.77696
cg21208062,0.90948
cg21227060,0.86204
cg21272576,0.89828
cg21280384,0.0595
cg21288889,0.51341
cg21296230,0.24176
cg21348173,0.81603
cg21363706,0.88332
cg21368094,0.85011
cg21459583,0.55857
cg21462914,0.99562
cg21566642,0.47701
cg21574681,0.91565
cg21579274,0.09983
cg21584251,0.70289
cg21614211,0.70377
cg21649005,0.88265
cg21649520,0.83715
cg21656736,0.88522
cg21658515,0.8937
cg21710255,0.78182
cg21712685,0.06828
cg21727276,0.88978
cg21736089,0.99198
cg21761813,0.91496
cg21762589,0.44316
cg21770393,0.05763
cg21777188,0.30496
cg21789941,0.42373
cg21791657,0.97266
cg21801378,0.09901
cg21833476,0.04886
cg21835643,0.21266
cg21843627,0.87591
cg21879240,0.90353
cg21899558,0.89574
cg21907579,0.1206
cg21924273,0.00854
cg21926612,0.35044
cg21960184,0.8772
cg21992507,0.90194
cg21993406,0.58586
cg22030032,0.11508
cg22047262,0.86938
cg22090064,0.93313
cg22090592,0.56173
cg22156456,0.17201
cg22157525,0.98152
cg22163406,0.80422
cg22179082,0.13134
cg22194129,0.6782
cg22197830,0.64909
cg22277972,0.08761
cg22282672,0.29223
cg22322818,0.86296
cg22355889,0.45126
cg22395019,0.12322
cg22396353,0.0
cg22407458,0.04176
cg22455450,0.07949
cg22473095,0.04232
cg22484793,0.71986
cg22495124,0.89291
cg22510139,0.48746
cg22510362,0.78137
cg22511262,0.12953
cg22512531,0.78394
cg22518157,0.38196
cg22519313,0.74552
cg22538557,0.04582
cg22580353,0.40784
cg22582569,0.04838
cg22594309,0.03516
cg22616007,0.89944
cg22620356,0.77878
cg22650271,0.646
cg22659049,0.85505
cg22660341,0.95478
cg22660904,0.5081
cg22663545,0.02664
cg22704788,0.80639
cg22714094,0.0352
cg22736354,0.29213
cg22744079,0.55009
cg22778797,0.86655
cg22809047,0.68977
cg22820188,0.30966
cg22850234,0.06527
cg22866430,0.8267
cg22871721,0.80147
cg22902266,0.14225
cg22930808,0.65488
cg22947000,0.33076
cg22971191,0.88214
cg22983092,0.74203
cg22983827,0.89868
cg22991148,0.10839
cg23036136,0.85491
cg23047825,0.70764
cg23124451,0.43634
cg23127998,0.16017
cg23152772,0.35205
cg23159337,0.69529
cg23173910,0.88288
cg23191950,0.16115
cg23213217,0.29346
cg23234999,0.75203
cg23239039,0.13095
cg23251761,0.5869
